contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
BKX130119C00037500,BKX,2013-01-19,call,37.5,E,13.1,,17.4,,0,0,2013-01-02,1,0,-0.1135,0,0.1586
BKX130119P00037500,BKX,2013-01-19,put,37.5,E,0,,0.2,,0,0,2013-01-02,0,0,0,0,0.1872
BKX130119C00040000,BKX,2013-01-19,call,40,E,10.7,,14.4,,0,0,2013-01-02,1,0,-0.1211,0,0.1586
BKX130119P00040000,BKX,2013-01-19,put,40,E,0,,0.2,,0,0,2013-01-02,0,0,0,0,0.1872
BKX130119C00042500,BKX,2013-01-19,call,42.5,E,7.9,,12.6,,0,0,2013-01-02,1,0,-0.1287,0,0.1586
BKX130119P00042500,BKX,2013-01-19,put,42.5,E,0,,5,,0,0,2013-01-02,0,0,0,0,0.1872
BKX130119C00043000,BKX,2013-01-19,call,43,E,7.7,,11.4,,0,0,2013-01-02,1,0,-0.1302,0,0.1586
BKX130119P00043000,BKX,2013-01-19,put,43,E,0,,0.2,,0,0,2013-01-02,0,0,0,0,0.1872
BKX130119C00044000,BKX,2013-01-19,call,44,E,6.7,,10.4,,0,0,2013-01-02,1,0,-0.1333,0,0.1586
BKX130119P00044000,BKX,2013-01-19,put,44,E,0,,0.2,,0,0,2013-01-02,0,0,-0.0002,0.0001,0.1872
BKX130119C00045000,BKX,2013-01-19,call,45,E,5.7,,9.4,,0,0,2013-01-02,1,0,-0.1363,0,0.1586
BKX130119P00045000,BKX,2013-01-19,put,45,E,0,,0.25,,0,0,2013-01-02,0,0,-0.0019,0.0009,0.1872
BKX130119C00046000,BKX,2013-01-19,call,46,E,5.1,,8.5,,0,0,2013-01-02,1,0,-0.1404,0.0007,0.1586
BKX130119P00046000,BKX,2013-01-19,put,46,E,0,,0.2,,0,0,2013-01-02,-0.0002,0.0002,-0.0161,0.0077,0.1872
BKX130119C00047000,BKX,2013-01-19,call,47,E,4.1,,7.5,,0,0,2013-01-02,0.9998,0.0004,-0.1562,0.0078,0.1586
BKX130119P00047000,BKX,2013-01-19,put,47,E,0,,0.3,,0,10,2013-01-02,-0.0012,0.002,-0.0964,0.0462,0.1872
BKX130119C00048000,BKX,2013-01-19,call,48,E,3.3,,6.5,,0,0,2013-01-02,0.9983,0.003,-0.2517,0.0602,0.1586
BKX130119P00048000,BKX,2013-01-19,put,48,E,0,,0.35,,0,20,2013-01-02,-0.0063,0.0085,-0.4176,0.2002,0.1872
BKX130119C00049000,BKX,2013-01-19,call,49,E,2.2,,5.6,,0,0,2013-01-02,0.9898,0.0152,-0.6829,0.3026,0.1586
BKX130119P00049000,BKX,2013-01-19,put,49,E,0,,0.2,,0,0,2013-01-02,-0.0243,0.0273,-1.3343,0.6398,0.1872
BKX130119C00050000,BKX,2013-01-19,call,50,E,1.4,,4.5,,0,8000,2013-01-02,0.9571,0.0513,-1.9534,1.0208,0.1586
BKX130119P00050000,BKX,2013-01-19,put,50,E,0,,0.35,,0,0,2013-01-02,-0.072,0.0654,-3.2005,1.5358,0.1872
BKX130119C00051000,BKX,2013-01-19,call,51,E,0.5,,3.6,,0,0,2013-01-02,0.8703,0.1189,-4.3234,2.3645,0.1586
BKX130119P00051000,BKX,2013-01-19,put,51,E,0.1,,0.3,,0,0,2013-01-02,-0.1682,0.1199,-5.8591,2.8142,0.1872
BKX130119C00052000,BKX,2013-01-19,call,52,E,0.95,,1.6,,0,0,2013-01-02,0.7224,0.2037,-6.277,3.7534,0.147
BKX130119P00052000,BKX,2013-01-19,put,52,E,0.3,,0.55,,0,0,2013-01-02,-0.3146,0.1741,-8.0365,3.9752,0.1821
BKX130119C00053000,BKX,2013-01-19,call,53,E,0.45,,1,,0,0,2013-01-02,0.4939,0.2106,-8.5208,4.4663,0.1692
BKX130119P00053000,BKX,2013-01-19,put,53,E,0.5,,1.2,,0,0,2013-01-02,-0.5045,0.1946,-9.0546,4.4666,0.1831
BKX130119C00054000,BKX,2013-01-19,call,54,E,0.25,,0.5,,0,0,2013-01-02,0.3027,0.1776,-7.717,3.909,0.1756
BKX130119P00054000,BKX,2013-01-19,put,54,E,0,,3,,0,0,2013-01-02,-0.6556,0.1482,-10.1028,4.1228,0.2217
BKX130119C00055000,BKX,2013-01-19,call,55,E,0,,0.25,,0,0,2013-01-02,0.1839,0.1211,-6.5522,2.9772,0.1961
BKX130119P00055000,BKX,2013-01-19,put,55,E,0.8,,3.9,,0,0,2013-01-02,-0.796,0.119,-7.406,3.1729,0.2127
BKX130119C00056000,BKX,2013-01-19,call,56,E,0,,0.25,,0,0,2013-01-02,0.1048,0.0779,-4.7499,2.0337,0.2083
BKX130119P00056000,BKX,2013-01-19,put,56,E,1.55,,4.8,,0,0,2013-01-02,-0.8946,0.078,-4.6103,2.0417,0.2088
BKX130119C00057500,BKX,2013-01-19,call,57.5,E,0,,0.2,,0,0,2013-01-02,0.046,0.0377,-2.7683,1.0805,0.2287
BKX130119P00057500,BKX,2013-01-19,put,57.5,E,2.95,,6.9,,0,0,2013-01-02,-0.9678,0.0308,-1.7142,0.8072,0.2088
BKX130216C00040000,BKX,2013-02-16,call,40,E,10.6,,14.9,,0,0,2013-01-02,1,0,-0.1211,0,0.1356
BKX130216P00040000,BKX,2013-02-16,put,40,E,0,,0.3,,0,0,2013-01-02,-0.0444,0.0102,-3.5429,1.7306,0.4984
BKX130216C00042000,BKX,2013-02-16,call,42,E,8.7,,12.9,,0,0,2013-01-02,1,0,-0.1272,0,0.1356
BKX130216P00042000,BKX,2013-02-16,put,42,E,0,,0.4,,0,0,2013-01-02,-0.0491,0.0131,-3.2405,1.876,0.4207
BKX130216C00043000,BKX,2013-02-16,call,43,E,7.7,,11.4,,0,0,2013-01-02,1,0,-0.1304,0.0004,0.1356
BKX130216P00043000,BKX,2013-02-16,put,43,E,0,,0.25,,0,0,2013-01-02,-0.0535,0.0153,-3.1843,2.0066,0.3866
BKX130216C00044000,BKX,2013-02-16,call,44,E,6.7,,10.4,,0,0,2013-01-02,1,0.0001,-0.1349,0.0031,0.1356
BKX130216P00044000,BKX,2013-02-16,put,44,E,0,,0.45,,0,0,2013-01-02,-0.0599,0.0181,-3.2008,2.1934,0.3556
BKX130216C00045000,BKX,2013-02-16,call,45,E,5.7,,9.5,,0,0,2013-01-02,0.9997,0.0004,-0.1464,0.0181,0.1356
BKX130216P00045000,BKX,2013-02-16,put,45,E,0,,0.4,,0,0,2013-01-02,-0.0693,0.022,-3.3045,2.4575,0.3278
BKX130216C00046000,BKX,2013-02-16,call,46,E,4.8,,8.5,,0,0,2013-01-02,0.9987,0.0018,-0.1845,0.0816,0.1356
BKX130216P00046000,BKX,2013-02-16,put,46,E,0,,0.45,,0,0,2013-01-02,-0.0831,0.0274,-3.5062,2.8213,0.3031
BKX130216C00047000,BKX,2013-02-16,call,47,E,4.3,,7.7,,0,0,2013-01-02,0.9945,0.0062,-0.3023,0.2881,0.1356
BKX130216P00047000,BKX,2013-02-16,put,47,E,0,,0.7,,0,0,2013-01-02,-0.1032,0.0346,-3.8224,3.3124,0.2816
BKX130216C00048000,BKX,2013-02-16,call,48,E,3.4,,6.6,,0,0,2013-01-02,0.9821,0.0176,-0.5951,0.811,0.1356
BKX130216P00048000,BKX,2013-02-16,put,48,E,0,,0.8,,0,0,2013-01-02,-0.1324,0.0441,-4.2602,3.951,0.2633
BKX130216C00049000,BKX,2013-02-16,call,49,E,2.5,,5.8,,0,0,2013-01-02,0.9519,0.04,-1.1695,1.8434,0.1356
BKX130216P00049000,BKX,2013-02-16,put,49,E,0.05,,0.9,,0,0,2013-01-02,-0.1617,0.0565,-4.3452,4.5197,0.235
BKX130216C00050000,BKX,2013-02-16,call,50,E,1.7,,5.1,,0,0,2013-01-02,0.8872,0.075,-2.1469,3.5326,0.1385
BKX130216P00050000,BKX,2013-02-16,put,50,E,0,,1.2,,0,0,2013-01-02,-0.2303,0.0698,-5.4065,5.6049,0.236
BKX130216C00051000,BKX,2013-02-16,call,51,E,1.65,,3.3,,0,1,2013-01-02,0.7789,0.1112,-3.3827,5.4772,0.1448
BKX130216P00051000,BKX,2013-02-16,put,51,E,0.4,,1.4,,0,0,2013-01-02,-0.3072,0.082,-6.1467,6.482,0.2323
BKX130216C00052000,BKX,2013-02-16,call,52,E,1,,2.75,,0,6000,2013-01-02,0.6274,0.1163,-5.164,6.9805,0.1764
BKX130216P00052000,BKX,2013-02-16,put,52,E,0.4,,1.75,,0,0,2013-01-02,-0.386,0.1016,-5.8666,7.0565,0.2042
BKX130216C00053000,BKX,2013-02-16,call,53,E,0.55,,2,,0,0,2013-01-02,0.5061,0.1224,-5.4266,7.3583,0.1766
BKX130216P00053000,BKX,2013-02-16,put,53,E,0.95,,2.35,,0,0,2013-01-02,-0.4896,0.098,-6.6003,7.3567,0.2207
BKX130216C00054000,BKX,2013-02-16,call,54,E,0.1,,1.15,,0,0,2013-01-02,0.3515,0.1447,-3.9702,6.8431,0.139
BKX130216P00054000,BKX,2013-02-16,put,54,E,1.45,,2.85,,0,0,2013-01-02,-0.5922,0.1007,-6.0633,7.1619,0.2091
BKX130216C00055000,BKX,2013-02-16,call,55,E,0,,1,,0,0,2013-01-02,0.3078,0.094,-5.4664,6.4881,0.2029
BKX130216P00055000,BKX,2013-02-16,put,55,E,1.15,,4.3,,0,0,2013-01-02,-0.6737,0.0876,-5.9885,6.6505,0.223
BKX130216C00057500,BKX,2013-02-16,call,57.5,E,0,,0.45,,0,0,2013-01-02,0.1996,0.057,-5.6789,5.1584,0.266
BKX130216P00057500,BKX,2013-02-16,put,57.5,E,2.85,,7,,0,0,2013-01-02,-0.8208,0.0576,-4.7436,4.8271,0.2461
BKX130216C00060000,BKX,2013-02-16,call,60,E,0,,0.2,,0,0,2013-01-02,0.1674,0.0388,-6.681,4.6222,0.3498
BKX130216P00060000,BKX,2013-02-16,put,60,E,5.6,,9.3,,0,0,2013-01-02,-0.8832,0.0368,-4.1413,3.6199,0.2889
BKX130216C00062500,BKX,2013-02-16,call,62.5,E,0,,0.2,,0,0,2013-01-02,0.0969,0.0266,-4.5708,3.1641,0.3498
BKX130216P00062500,BKX,2013-02-16,put,62.5,E,8,,11.8,,0,0,2013-01-02,-0.9448,0.0208,-2.2657,2.0571,0.2889
BKX130216C00065000,BKX,2013-02-16,call,65,E,0,,4.6,,0,0,2013-01-02,0.0525,0.0166,-2.8563,1.978,0.3498
BKX130216P00065000,BKX,2013-02-16,put,65,E,10.1,,14.6,,0,0,2013-01-02,-0.9765,0.0104,-1.0244,1.0238,0.2889
BKX130316C00030000,BKX,2013-03-16,call,30,E,20.2,,24.8,,0,0,2013-01-02,1,0,-0.0909,0,0.187
BKX130316P00030000,BKX,2013-03-16,put,30,E,0,,4.6,,0,90,2013-01-02,0,0,0,0,0.212
BKX130316C00035000,BKX,2013-03-16,call,35,E,15.5,,19.3,,0,0,2013-01-02,1,0,-0.1059,0,0.187
