symbol,open,high,low,close,volume,adjust_close
BKX,52,52.93,52,52.93,0,
DJX,131.04,134.13,131.04,134.13,16143013888,
HGX,171.53,177.58,171.52,177.11,0,
NDX,2727.669922,2746.5,2716.300049,2746.469971,2111300000,
OSX,220.34,225.94,220.34,225.91,0,
RUT,849.349976,873.98999,849.349976,873.419983,42026000,
SPX,1426.189941,1462.430054,1426.189941,1462.420044,4202600000,
VIX,15.24,15.93,14.6,14.68,0,
XDA,104.91,105.24,104.82,104.93,0,
XDB,162.95,163.14,162.26,162.54,0,
XDC,0.403,0.403,0.403,0.403,0,
XDE,132.69,132.74,131.57,131.81,0,
XDN,114.94,114.99,114.5,114.54,0,
XDS,109.74,109.81,108.7,108.93,0,
XDZ,83.59,83.79,82.93,83.02,0,
XEO,646.609985,663.869995,646.609985,663.869995,0,
XSP,142.62,146.24,142.62,146.24,0,
UTY,0.05,0.07,0.05,0.07,1700,
