i,discounted
1,16.8661
2,15.5885
3,14.9151
4,15.9329
5,12.4556
6,13.4178
7,15.545
8,15.4028
9,16.9463
10,13.4409
11,14.293
12,15.5275
13,14.922
14,18.0419
15,16.5358
16,11.9413
17,15.5053
18,15.7181
19,12.9528
20,15.0952
21,15.0509
22,16.6525
23,17.1864
24,14.0331
25,14.9076
26,12.835
27,14.6572
28,16.4657
29,12.8203
30,16.7763
31,17.3663
32,15.4019
33,14.0192
34,16.6277
35,19.1106
36,18.2979
37,18.4321
38,15.6591
39,15.4
40,14.0132
41,13.6035
42,13.8427
43,16.627
44,15.6357
45,18.4788
46,17.0081
47,15.9011
48,17.3418
49,13.8977
50,17.8256
51,15.086
52,13.8607
53,17.2555
54,13.8862
55,18.865
56,16.6644
57,16.9581
58,15.4885
59,12.7489
60,13.8925
61,16.1474
62,16.1918
63,15.4743
64,16.433
65,17.0578
66,14.9872
67,17.2595
68,16.677
69,16.7654
70,16.5557
71,13.1106
72,15.956
73,13.1681
74,15.9891
75,14.2381
76,17.7559
77,15.876
78,16.2234
79,17.7572
80,12.4064
81,17.8101
82,14.3146
83,13.7846
84,13.2897
85,15.8788
86,14.2663
87,14.2608
88,13.1441
89,15.0838
90,16.3091
91,15.8796
92,13.806
93,10.7943
94,13.524
95,20.1682
96,19.2996
97,15.0612
98,14.2562
99,14.5575
100,17.3438
101,14.8099
102,17.6806
103,16.5911
104,12.2057
105,13.6999
106,16.1172
107,14.1675
108,15.6212
109,15.7166
110,17.4145
111,18.0166
112,18.1368
113,16.4042
114,13.7524
115,16.3655
116,20.1457
117,14.5418
118,16.9186
119,13.8166
120,15.7494
121,14.5458
122,16.0883
123,15.4779
124,14.9564
125,11.6431
126,13.3403
127,12.1656
128,12.6166
129,16.0234
130,13.7152
131,12.394
132,15.6381
133,16.8972
134,15.5093
135,13.2704
136,16.2804
137,14.0114
138,17.0549
139,14.4609
140,17.2753
141,12.8517
142,16.3152
143,17.3965
144,15.7666
145,17.2982
146,13.1538
147,15.541
148,11.7338
149,17.3513
150,16.5323
151,16.3728
152,14.1432
153,16.118
154,16.7234
155,16.6001
156,17.128
157,15.2984
158,15.8656
159,16.3198
160,12.4413
161,17.2491
162,12.3824
163,15.0315
164,12.1319
165,17.6976
166,15.6501
167,14.0626
168,16.1145
169,19.2326
170,19.1522
171,15.6294
172,16.1563
173,15.6961
174,14.231
175,16.2489
176,13.626
177,12.9439
178,14.282
179,15.6846
180,12.7475
181,16.0388
182,14.3829
183,13.9985
184,14.1668
185,17.0676
186,12.8029
187,13.505
188,14.3387
189,13.2907
190,16.6703
191,16.5356
192,14.6593
193,15.4165
194,16.1055
195,13.6703
196,12.167
197,14.0911
198,17.2548
199,17.8016
200,14.1418
201,11.5664
202,14.0741
203,15.3939
204,13.5963
205,17.9803
206,17.5456
207,15.3919
208,13.532
209,16.2924
210,15.0797
211,19.0922
212,17.7845
213,15.6093
214,14.3252
215,17.3238
216,13.3533
217,19.2472
218,14.4683
219,16.303
220,12.4142
221,15.1036
222,17.4052
223,18.0808
224,16.6031
225,15.286
226,14.2631
227,14.3766
228,15.2899
229,17.1398
230,16.7376
231,15.5378
232,15.5802
233,17.3967
234,15.735
235,14.4901
236,16.3786
237,17.4929
238,17.0167
239,19.9964
240,13.8511
241,14.5019
242,12.1798
243,17.7412
244,13.4067
245,15.2721
246,13.4702
247,16.502
248,12.022
249,14.3845
250,17.6827
251,14.5623
252,17.3411
253,16.7038
254,15.3889
255,14.6129
256,16.5457
257,15.2804
258,14.8804
259,13.9996
260,20.5163
261,14.4888
262,18.4518
263,13.7887
264,18.2256
265,13.293
266,18.9321
267,12.2444
268,15.8836
269,17.9064
270,13.6793
271,14.9596
272,14.7609
273,17.7608
274,16.4394
275,16.7447
276,14.4147
277,13.5061
278,17.5945
279,14.0784
280,17.1161
281,13.8156
282,13.8743
283,12.914
284,16.3802
285,19.3424
286,14.2095
287,15.4711
288,14.8387
289,17.8984
290,14.5446
291,15.7494
292,14.8082
293,14.033
294,18.2242
295,14.2111
296,16.7453
297,17.4019
298,12.4636
299,15.5132
300,14.2523
301,16.2466
302,16.302
303,17.553
304,15.7466
305,16.9696
306,17.0615
307,16.1004
308,17.3103
309,14.2991
310,14.3217
311,13.5197
312,17.3784
313,15.5801
314,13.7959
315,15.8226
316,14.8883
317,15.2096
318,14.4217
319,16.9335
320,17.5417
321,17.0892
322,14.085
323,15.3305
324,12.1816
325,16.3777
326,16.2281
327,17.159
328,18.5876
329,15.8724
330,15.33
331,14.8978
332,15.3549
333,13.4248
334,16.1909
335,17.2588
336,17.4351
337,15.0199
338,15.2943
339,19.8222
340,15.2139
341,12.7783
342,11.5378
343,17.7126
344,15.5338
345,14.3207
346,17.4078
347,15.5292
348,14.613
349,16.7153
350,11.7596
351,14.7347
352,14.9259
353,16.8306
354,18.0899
355,14.1707
356,13.8915
357,17.5761
358,11.5829
359,14.6185
360,14.8755
361,15.8815
362,13.6831
363,14.7817
364,11.7337
365,13.6172
366,13.2112
367,18.1929
368,13.6435
369,14.7554
370,16.1611
371,17.6405
372,16.9992
373,14.5494
374,15.6173
375,14.6879
376,11.6509
377,13.4981
378,17.2621
379,13.9878
380,15.6978
381,17.8736
382,15.0676
383,13.6443
384,14.4862
385,15.5665
386,15.6489
387,18.8342
388,14.4102
389,14.1988
390,15.0821
391,15.3208
392,13.7362
393,18.7728
394,16.8667
395,16.9612
396,16.6783
397,15.2243
398,15.7878
399,18.5642
400,12.4175
401,15.7118
402,16.169
403,16.157
404,17.1113
405,15.9895
406,14.0145
407,16.8649
408,14.9143
409,15.0355
410,16.269
411,16.9746
412,14.7001
413,16.6209
414,19.6144
415,14.0571
416,12.9221
417,15.0345
418,18.5386
419,16.983
420,14.8677
421,16.6127
422,15.5472
423,16.2909
424,13.4498
425,19.5845
426,15.9516
427,13.9993
428,16.2844
429,16.1604
430,15.5249
431,13.982
432,14.6638
433,15.7762
434,16.7707
435,14.2514
436,14.9013
437,18.7076
438,10.6546
439,18.638
440,13.5643
441,18.6897
442,18.773
443,16.2427
444,15.5822
445,18.8866
446,13.5473
447,17.595
448,12.6503
449,11.9995
450,14.7818
451,17.2529
452,16.6394
453,17.8003
454,13.3546
455,16.5593
456,16.1523
457,13.9852
458,15.7192
459,14.7804
460,16.8814
461,16.7869
462,15.1974
463,17.1765
464,12.6718
465,16.4215
466,13.9422
467,14.8884
468,15.606
469,19.6816
470,16.8598
471,12.8847
472,17.0777
473,16.2766
474,14.3594
475,14.0846
476,14.9575
477,10.3155
478,15.6662
479,16.4171
480,17.2776
481,13.1995
482,17.9826
483,15.2798
484,13.2963
485,14.8166
486,13.8942
487,13.1601
488,16.5429
489,12.6716
490,17.1284
491,16.71
492,15.0799
493,15.2308
494,14.9252
495,13.0351
496,14.8167
497,15.1249
498,16.7828
499,15.6758
500,14.8354
501,14.4748
502,14.7607
503,15.0524
504,17.1711
505,14.0544
506,12.5669
507,14.8455
508,16.3294
509,13.5719
510,15.6224
511,13.8495
512,13.546
513,12.9943
514,18.4665
515,16.5337
516,15.6388
517,17.9204
518,15.1402
519,14.2177
520,15.4231
521,20.0186
522,14.557
523,14.5908
524,14.7839
525,17.5515
526,13.7871
527,20.6338
528,15.9403
529,15.4715
530,16.9889
531,11.6077
532,15.719
533,13.5843
534,18.2398
535,14.2909
536,19.2699
537,17.1921
538,14.1524
539,15.6137
540,15.6301
541,14.2376
542,14.318
543,16.7894
544,14.1188
545,13.9869
546,15.9318
547,15.9777
548,15.3117
549,16.6957
550,17.4381
551,17.777
552,14.8875
553,15.0681
554,15.9149
555,17.1861
556,16.2576
557,15.5116
558,19.162
559,14.2238
560,15.5788
561,14.8566
562,17.2892
563,16.8021
564,16.3433
565,12.8946
566,16.5545
567,17.0527
568,13.5789
569,16.0288
570,13.3607
571,15.2976
572,15.1945
573,14.9954
574,18.7604
575,14.0663
576,11.4881
577,13.8404
578,16.1771
579,11.6802
580,15.1784
581,17.3111
582,14.7789
583,13.1476
584,17.8664
585,16.665
586,13.7479
587,20.3526
588,15.3221
589,12.3252
590,11.9379
591,12.2613
592,14.0144
593,15.9377
594,13.953
595,14.874
596,16.2897
597,12.9384
598,17.7791
599,11.4118
600,14.4103
601,17.3511
602,16.2625
603,23.0214
604,14.922
605,15.5877
606,16.2395
607,16.0415
608,15.744
609,14.4549
610,16.6454
611,14.1812
612,16.1533
613,13.9722
614,17.5135
615,17.1767
616,13.9849
617,16.7437
618,17.9706
619,14.4554
620,14.8752
621,15.528
622,15.2224
623,16.6756
624,18.2338
625,16.7208
626,12.6309
627,12.9737
628,15.3984
629,17.7922
630,14.7501
631,14.2572
632,14.8133
633,19.2386
634,15.5886
635,16.159
636,13.2829
637,16.9691
638,11.9316
639,17.1007
640,17.5029
641,15.0125
642,17.5664
643,13.4619
644,12.0916
645,16.5439
646,14.3834
647,18.8314
648,15.7295
649,16.1185
650,17.0918
651,14.6668
652,18.179
653,15.5148
654,18.1265
655,14.0023
656,15.7541
657,15.8767
658,14.4275
659,16.3635
660,15.0551
661,15.7244
662,14.2132
663,14.0536
664,14.6732
665,17.8438
666,17.1762
667,15.2999
668,13.5158
669,14.099
670,15.9041
671,15.3212
672,15.7237
673,12.9266
674,13.7923
675,12.4343
676,15.8148
677,16.9601
678,20.321
679,15.2891
680,16.85
681,15.3327
682,17.6301
683,16.8734
684,15.9756
685,15.7274
686,15.9303
687,18.5581
688,17.1477
689,11.744
690,14.7788
691,14.1866
692,15.9795
693,15.0506
694,17.7469
695,15.0724
696,14.8461
697,12.5104
698,14.1701
699,13.4908
700,14.6286
701,15.4333
702,17.4947
703,13.9804
704,14.2196
705,13.8436
706,12.5471
707,18.0973
708,15.9863
709,13.4226
710,14.1321
711,17.8573
712,14.8588
713,11.2249
714,13.0559
715,18.0724
716,16.5159
717,14.9396
718,15.5217
719,14.8773
720,13.0832
721,13.2378
722,15.4554
723,16.3298
724,16.0486
725,17.2642
726,13.7894
727,17.1004
728,16.2878
729,15.7826
730,14.227
731,15.7648
732,13.325
733,17.3979
734,17.1432
735,14.4884
736,17.9618
737,14.7806
738,14.6456
739,13.0777
740,14.9382
741,17.9526
742,14.5544
743,16.2506
744,14.8844
745,13.7721
746,16.5162
747,14.1578
748,17.042
749,13.0891
750,17.6021
751,15.9974
752,14.9701
753,11.5621
754,12.2157
755,14.8494
756,17.6876
757,18.9522
758,17.8577
759,13.503
760,17.6393
761,15.7844
762,14.4081
763,14.8103
764,16.4028
765,18.1684
766,15.8835
767,12.8487
768,17.4358
769,13.0118
770,14.7156
771,17.0123
772,13.9385
773,17.8831
774,17.1425
775,12.3342
776,13.389
777,17.9057
778,16.694
779,16.2236
780,17.5162
781,14.7936
782,14.6386
783,13.3034
784,13.1994
785,14.2087
786,14.2701
787,15.3741
788,15.0858
789,15.7892
790,12.1918
791,13.499
792,17.1388
793,18.4949
794,15.156
795,13.7246
796,16.6616
797,15.2188
798,17.3092
799,14.8097
800,13.7845
801,14.044
802,16.3953
803,16.7659
804,17.3941
805,15.8756
806,15.0038
807,16.7852
808,18.2329
809,17.8114
810,14.7603
811,15.0436
812,18.1184
813,15.267
814,16.3015
815,15.4066
816,13.1294
817,16.9708
818,13.7451
819,15.335
820,15.2228
821,15.4315
822,16.5801
823,14.8472
824,16.5789
825,16.7425
826,18.278
827,17.2148
828,15.3467
829,17.8383
830,16.6787
831,18.3487
832,17.3489
833,15.5239
834,15.405
835,14.103
836,14.2634
837,17.7896
838,17.0051
839,18.0522
840,12.9472
841,16.6441
842,19.7997
843,12.8758
844,14.0016
845,16.9866
846,18.0641
847,13.8573
848,16.9221
849,14.1018
850,16.0975
851,13.1296
852,16.5177
853,16.0054
854,19.2112
855,12.8064
856,16.4109
857,16.624
858,14.7134
859,17.1095
860,12.4532
861,15.5609
862,15.805
863,15.0315
864,15.5218
865,16.3043
866,17.6695
867,15.8786
868,15.558
869,14.0078
870,17.2309
871,15.7024
872,15.9273
873,14.6608
874,15.8542
875,16.369
876,13.1859
877,14.5042
878,13.825
879,17.344
880,15.7322
881,13.7485
882,14.5799
883,16.5266
884,18.2757
885,16.7364
886,15.8043
887,16.6495
888,15.9338
889,15.8657
890,14.1776
891,16.0295
892,13.7108
893,15.0291
894,14.0772
895,17.9149
896,16.5328
897,15.8725
898,14.4156
899,14.6087
900,16.2522
901,13.4201
902,14.5359
