i,discounted
1,0
2,0
3,0.800427
4,0
5,5.49011
6,3.6486
7,0
8,0
9,0
10,3.60454
11,1.98127
12,0
13,0.787217
14,0
15,0
16,6.47818
17,0
18,0
19,4.53734
20,0.459115
21,0.543073
22,0
23,0
24,2.47553
25,0.81454
26,4.76296
27,1.28954
28,0
29,4.7911
30,0
31,0
32,0
33,2.50199
34,0
35,0
36,0
37,0
38,0
39,0
40,2.51348
41,3.29415
42,2.8382
43,0
44,0
45,0
46,0
47,0
48,0
49,2.73351
50,0
51,0.476652
52,2.80381
53,0
54,2.75533
55,0
56,0
57,0
58,0
59,4.92777
60,2.74329
61,0
62,0
63,0
64,0
65,0
66,0.66381
67,0
68,0
69,0
70,0
71,4.23552
72,0
73,4.12565
74,0
75,2.08552
76,0
77,0
78,0
79,0
80,5.58453
81,0
82,1.94006
83,2.9489
84,3.89329
85,0
86,2.03189
87,2.04241
88,4.1715
89,0.480773
90,0
91,0
92,2.90806
93,8.69108
94,3.44581
95,0
96,0
97,0.523628
98,2.05109
99,1.47865
100,0
101,0.999743
102,0
103,0
104,5.96995
105,3.1104
106,0
107,2.21978
108,0
109,0
110,0
111,0
112,0
113,0
114,3.01018
115,0
116,0
117,1.50851
118,0
119,2.88786
120,0
121,1.50099
122,0
123,0
124,0.72211
125,7.05217
126,3.79654
127,6.04694
128,5.18131
129,0
130,3.08116
131,5.60825
132,0
133,0
134,0
135,3.93004
136,0
137,2.51682
138,0
139,1.66224
140,0
141,4.73103
142,0
143,0
144,0
145,0
146,4.15302
147,0
148,6.87759
149,0
150,0
151,0
152,2.26601
153,0
154,0
155,0
156,0
157,0.0746714
158,0
159,0
160,5.51752
161,0
162,5.63057
163,0.579902
164,6.11168
165,0
166,0
167,2.41939
168,0
169,0
170,0
171,0
172,0
173,0
174,2.09912
175,0
176,3.25123
177,4.5545
178,2.00209
179,0
180,4.93048
181,0
182,1.81025
183,2.54138
184,2.22119
185,0
186,4.82433
187,3.48206
188,1.89429
189,3.89131
190,0
191,0
192,1.28555
193,0
194,0
195,3.1667
196,6.04418
197,2.36516
198,0
199,0
200,2.26877
201,7.2
202,2.39759
203,0
204,3.30801
205,0
206,0
207,0
208,3.43069
209,0
210,0.488465
