i,discounted
1,10.8402
2,23.3934
3,15.5384
4,21.2799
5,2.54544
6,0.484618
7,22.272
8,17.0447
9,38.643
10,8.0723
11,15.4273
12,26.132
13,20.4238
14,35.9948
15,5.3197
16,7.63998
17,12.6843
18,0
19,20.0264
20,20.9008
21,18.6903
22,12.7454
23,7.62601
24,6.33994
25,8.92926
26,15.1647
27,13.8436
28,3.52523
29,0
30,16.0581
31,4.54179
32,39.4174
33,18.0828
34,11.3496
35,7.8072
36,19.6112
37,5.3582
38,24.0601
39,10.761
40,3.5208
41,5.19308
42,24.3425
43,9.33294
44,1.34806
45,9.57225
46,0
47,22.0042
48,12.9382
49,20.0481
50,8.79748
51,3.98724
52,24.811
53,0.675966
54,5.8419
55,3.68783
56,13.6603
57,22.306
58,10.4589
59,16.351
60,4.59828
61,20.8893
62,0
63,0
64,22.4867
65,17.4735
66,0
67,33.9588
68,10.5809
69,9.47962
70,12.3943
71,28.5736
72,21.488
73,17.1752
74,9.22946
75,0.511842
76,30.8166
77,17.7744
78,15.0987
79,0
80,18.2248
81,14.238
82,28.8442
83,0
84,7.28494
85,4.77774
86,7.30832
87,10.9891
88,1.51311
89,11.6982
90,17.6316
91,4.20345
92,14.0054
93,12.8681
94,2.5923
95,27.1417
96,0
97,10.274
98,7.2336
99,44.436
100,14.5287
101,5.60536
102,7.27858
103,33.6676
104,0.238609
105,16.3945
106,16.549
107,12.5172
108,12.5726
109,17.3781
110,29.7413
111,4.02737
112,7.57278
113,26.8358
114,6.71501
115,0
116,10.4188
117,11.9231
118,12.8629
119,19.7827
120,27.148
121,17.7947
122,3.03773
123,7.12264
124,6.13734
125,8.24351
126,15.912
127,9.1738
128,0
129,0
130,19.1374
131,19.5741
132,26.8275
133,16.9493
134,10.1896
135,23.5661
136,36.277
137,0
138,0
139,49.4155
140,16.2265
141,9.46783
142,0
143,28.7905
144,0.049642
145,0
146,22.9386
147,34.4714
148,17.4068
149,0
150,28.7951
151,0
152,15.6729
153,2.0623
154,0
155,8.21398
156,6.00282
157,1.44244
158,0
159,9.81219
160,4.86295
161,0
162,22.7966
163,11.6034
164,27.9633
165,3.07924
166,6.11831
167,12.3778
168,0
169,14.042
170,19.4784
171,9.89807
172,13.0385
173,0
174,4.6869
175,7.88051
176,19.6216
177,2.05674
178,1.73086
179,1.64846
180,9.99635
181,13.6321
182,0
183,20.9394
184,18.7799
185,26.8883
186,17.7636
187,3.17675
188,0
189,1.12959
190,19.6014
191,27.799
192,10.2816
193,9.42643
194,16.9937
195,11.5002
196,37.8218
197,7.95636
198,7.40518
199,7.13018
200,12.2022
201,29.9103
202,25.9052
203,2.18488
204,17.6011
205,16.2437
206,9.12486
207,24.6877
208,5.00189
209,0
210,0
211,21.0355
212,30.5704
213,9.34801
214,36.7888
215,7.35797
216,21.7349
217,3.83984
218,15.1942
219,0
220,13.3665
221,13.7611
222,9.97351
223,17.6958
224,24.6759
225,15.3517
226,17.3646
227,8.01036
228,2.17831
229,10.5373
230,11.3782
231,12.6971
232,13.6677
233,14.2003
234,5.97361
235,11.7826
236,8.3352
237,22.8161
238,4.68607
239,0
240,0
241,41.921
242,0
243,22.7235
244,7.31977
245,2.77446
246,9.05786
247,9.13892
248,6.26672
249,16.7112
250,35.7896
251,15.6296
252,28.5551
253,10.9004
254,5.65014
255,4.53319
256,8.01154
257,11.0228
258,20.6505
259,14.5481
260,32.0053
261,30.0739
262,0
263,11.3778
264,13.9964
265,15.8623
266,5.93123
267,19.9315
268,24.2029
269,0
270,15.8525
271,20.5176
272,13.0341
273,23.2931
274,18.0879
275,15.1298
276,18.8013
277,20.5934
278,5.33307
279,25.4664
280,16.2274
281,36.9941
282,16.9477
283,22.9841
284,1.27564
285,11.0607
286,0
287,7.4956
288,10.2991
289,6.8536
290,12.2892
291,18.2246
292,6.40882
293,9.90787
294,0
295,13.7634
296,34.0033
297,28.5181
298,5.13273
299,9.08058
300,7.6866
301,9.4686
302,21.2827
303,28.0869
304,25.3045
305,33.4209
306,26.6464
307,5.02525
308,2.43153
309,10.6142
310,38.5185
311,31.0724
312,0
313,31.8514
314,7.5298
315,0
316,10.4801
317,7.82085
318,12.8393
319,10.6556
320,6.47581
321,11.8456
322,11.1339
323,15.2887
324,11.1435
325,32.7725
326,12.3569
327,4.89533
328,14.8662
329,2.36684
330,14.3413
331,22.4018
332,14.5999
333,25.938
334,9.10475
335,0.0247447
336,14.3578
337,28.1505
338,8.19758
339,18.5728
340,30.3502
341,4.58659
342,3.18515
343,13.9636
344,32.3817
345,0.962106
346,22.9733
347,25.9475
348,7.21322
349,11.6454
350,4.87453
351,33.876
352,8.12395
353,0
354,0
355,1.40685
356,0
357,4.6904
358,8.43292
359,3.21242
360,0
361,17.8693
362,25.143
363,22.9185
364,25.41
365,0
366,3.88639
367,25.5099
368,4.05049
369,10.6018
370,5.89583
371,17.7301
372,22.7569
373,15.5714
374,9.39711
375,14.2782
376,12.0064
377,13.9187
378,13.4634
379,31.1114
380,0.601894
381,23.2118
382,9.4785
383,16.1089
384,8.52302
385,16.414
386,1.19422
387,5.55986
388,19.4684
389,19.3399
390,16.3428
391,11.9023
392,13.4395
393,7.77062
394,31.6716
395,0
396,12.8187
397,12.5451
398,16.0334
399,21.3241
400,8.00589
401,18.8428
402,21.5047
403,20.7303
404,8.69843
405,24.6719
406,19.9338
407,0
408,1.29473
409,12.0479
410,14.6994
411,0
412,2.18915
413,0
414,9.19785
415,1.60982
416,3.77166
417,12.0694
418,0
419,0
420,11.1641
421,15.3843
422,12.2969
423,25.4381
424,2.09117
425,15.1128
426,2.00278
427,22.9844
428,38.6293
429,24.8321
430,20.6692
431,2.97817
432,5.24028
433,1.06655
434,14.1596
435,9.27504
436,23.5888
437,12.7136
438,1.80447
439,0
440,6.50168
441,9.62409
442,23.6369
443,8.72826
444,12.9636
445,11.1887
446,20.801
447,7.73697
448,18.3505
449,16.1295
450,7.7478
451,28.3303
452,7.89044
453,0
454,14.1062
455,17.8174
456,9.26849
457,1.32804
458,8.93968
459,11.5205
460,0
461,9.63074
462,22.0674
463,23.8385
464,6.71174
465,17.7578
466,23.5155
467,3.97192
468,6.62872
469,12.5981
470,14.3479
471,20.2443
472,0
473,0
474,28.439
475,15.5453
476,12.7324
477,13.7855
478,0
479,3.96123
480,3.64192
481,1.53319
482,8.04886
483,42.1159
484,4.14509
485,22.8005
486,4.35226
487,27.3847
488,18.4486
489,12.9518
490,24.2763
491,2.89847
492,2.36518
493,21.1541
494,27.5315
495,10.1435
496,0
497,17.9768
498,8.44904
499,30.3776
500,9.59864
501,8.88583
502,35.4166
503,4.73464
504,3.48184
505,12.5283
506,25.3586
507,14.3165
508,2.95125
509,6.15454
510,0
511,0
512,6.2414
513,9.12483
514,5.43241
515,20.8846
516,34.4061
517,31.6751
518,13.1095
519,0
520,5.44126
521,0.961286
522,0
523,8.46771
524,14.9391
525,0
526,3.73735
527,24.5231
528,29.2397
529,30.1544
530,27.506
531,27.9498
532,20.3018
533,2.45241
534,17.0603
535,10.115
536,23.0604
537,24.109
538,9.93262
539,9.35529
540,25.3517
541,6.82026
542,17.8834
543,21.4635
544,15.05
545,9.83886
546,18.7485
547,12.8265
548,6.48165
549,29.0477
550,22.7511
551,0
552,7.9966
553,18.0463
554,4.31592
555,3.07882
556,13.2977
557,20.0439
558,0
559,7.54675
560,0
561,21.3201
562,0
563,15.6735
564,10.573
565,16.2636
566,20.678
567,15.5139
568,0
569,3.28844
570,20.981
571,0.334492
572,17.8663
573,0
574,14.5397
575,2.99822
576,26.9761
577,2.1014
578,26.4575
579,7.39321
580,19.4589
581,13.1691
582,5.85524
583,8.76731
584,5.74055
585,19.0659
586,0.195838
587,0
588,0
589,0
590,24.0556
591,10.8114
592,20.3886
593,7.68792
594,3.17068
595,0
596,18.0454
597,4.77442
598,4.91061
599,3.32099
600,2.53078
601,0
602,12.0301
603,3.80432
604,10.3477
605,3.98357
606,0
607,8.86797
608,18.5576
609,11.3097
610,4.95786
611,9.80685
612,15.8563
613,0
614,7.56817
615,9.25439
616,1.25007
617,0
618,0
619,3.00891
620,9.86325
621,10.9056
622,28.3054
623,15.0352
624,0
625,22.8814
626,14.2614
627,0
628,9.97066
629,20.5756
630,3.19113
631,4.31236
632,22.4166
633,9.47183
634,0
635,8.06292
636,4.01904
637,10.5048
638,15.4463
639,9.89515
640,12.5026
641,6.86682
642,5.29217
643,8.2669
644,20.7396
645,18.4568
646,21.4212
647,0
648,11.9483
649,4.88701
650,12.0973
651,2.00092
652,20.7405
653,0
654,11.3988
655,4.85297
656,8.7077
657,23.9019
658,16.6897
659,4.66613
660,0
661,5.99545
662,9.83623
663,1.04357
664,30.3933
665,9.2777
666,3.00585
667,3.10223
668,5.12138
669,14.0629
670,0
671,0
672,16.6485
673,0.729771
674,10.9745
675,16.7063
676,12.6678
677,21.9434
678,0
679,8.78029
680,0
681,4.64212
