i,discounted
1,0
2,0
3,0
4,0
5,1.42733
6,1.82076
7,0
8,0
9,0
10,0.395353
11,0
12,0
13,0
14,0
15,0.909016
16,0.49363
17,0
18,2.04028
19,0
20,0
21,0
22,0
23,0.479946
24,0.772993
25,0.279279
26,0
27,0
28,1.25461
29,2.7645
30,0
31,1.04663
32,0
33,0
34,0
35,0.463665
36,0
37,0.891449
38,0
39,0
40,1.2433
41,0.919775
42,0
43,0.163615
44,1.65801
45,0.124485
46,3.22397
47,0
48,0
49,0
50,0.343486
51,1.14703
52,0
53,1.82774
54,0.800679
55,1.23546
56,0
57,0
58,0
59,0
60,1.03395
61,0
62,2.03668
63,1.99344
64,0
65,0
66,5.24221
67,0
68,0
69,0.133165
70,0
71,0
72,0
73,0
74,0.177241
75,1.82586
76,0
77,0
78,0
79,2.21606
80,0
81,0
82,0
83,3.09387
84,0.545948
85,1.00696
86,0.527649
87,0
88,1.71883
89,0
90,0
91,1.12472
92,0
93,0
94,1.42209
95,0
96,2.24635
97,0.00984735
98,0.542422
99,0
100,0
101,0.905919
102,0.546581
103,0
104,2.10294
105,0
106,0
107,0
108,0
109,0
110,0
111,1.13977
112,0.486565
113,0
114,0.679647
115,2.12562
116,0
117,0
118,0
119,0
120,0
121,0
122,1.33908
123,0.576507
124,0.775218
125,0.356346
126,0
127,0.197728
128,2.55127
129,2.37367
130,0
131,0
132,0
133,0
134,0.035673
135,0
136,0
137,3.80851
138,2.18198
139,0
140,0
141,0.156638
142,3.18194
143,0
144,1.93482
145,2.52638
146,0
147,0
148,0
149,4.5398
150,0
151,3.29019
152,0
153,1.55279
154,2.20442
155,0.388467
156,0.784263
157,1.6415
158,2.83696
159,0.0932445
160,1.00478
161,2.79647
162,0
163,0
164,0
165,1.36185
166,0.746991
167,0
168,2.75863
169,0
170,0
171,0.0605738
172,0
173,4.56044
174,1.01669
175,0.433305
176,0
177,1.59013
178,1.64143
179,1.6217
180,0.0429009
181,0
182,2.4116
183,0
184,0
185,0
186,0
187,1.3256
188,2.32296
189,1.70062
190,0
191,0
192,0.00705975
193,0.160402
194,0
195,0
196,0
197,0.41653
198,0.55126
199,0.580481
200,0
201,0
202,0
203,1.55837
204,0
205,0
206,0.195973
