i,discounted
1,0
2,0
3,0.999534
4,0
5,0.999534
6,0.999534
7,0
8,0
9,0
10,0.999534
11,0.999534
12,0
13,0.999534
14,0
15,0
16,0.999534
17,0
18,0
19,0.999534
20,0.999534
21,0.999534
22,0
23,0
24,0.999534
25,0.999534
26,0.999534
27,0.999534
28,0
29,0.999534
30,0
31,0
32,0
33,0.999534
34,0
35,0
36,0
37,0
38,0
39,0
40,0.999534
41,0.999534
42,0.999534
43,0
44,0
45,0
46,0
47,0
48,0
49,0.999534
50,0
51,0.999534
52,0.999534
53,0
54,0.999534
55,0
56,0
57,0
58,0
59,0.999534
60,0.999534
61,0
62,0
63,0
64,0
65,0
66,0.999534
67,0
68,0
69,0
70,0
71,0.999534
72,0
73,0.999534
74,0
75,0.999534
76,0
77,0
78,0
79,0
80,0.999534
81,0
82,0.999534
83,0.999534
84,0.999534
85,0
86,0.999534
87,0.999534
88,0.999534
89,0.999534
90,0
91,0
92,0.999534
93,0.999534
94,0.999534
95,0
96,0
97,0.999534
98,0.999534
99,0.999534
100,0
101,0.999534
102,0
103,0
104,0.999534
105,0.999534
106,0
107,0.999534
108,0
109,0
110,0
111,0
112,0
113,0
114,0.999534
115,0
116,0
117,0.999534
118,0
119,0.999534
120,0
121,0.999534
122,0
123,0
124,0.999534
125,0.999534
126,0.999534
127,0.999534
128,0.999534
129,0
130,0.999534
131,0.999534
132,0
133,0
134,0
135,0.999534
136,0
137,0.999534
138,0
139,0.999534
140,0
141,0.999534
142,0
143,0
144,0
145,0
146,0.999534
147,0
148,0.999534
149,0
150,0
151,0
152,0.999534
153,0
154,0
155,0
156,0
157,0.999534
158,0
159,0
160,0.999534
161,0
162,0.999534
163,0.999534
164,0.999534
165,0
166,0
167,0.999534
168,0
169,0
170,0
171,0
172,0
173,0
174,0.999534
175,0
176,0.999534
177,0.999534
178,0.999534
179,0
180,0.999534
181,0
182,0.999534
183,0.999534
184,0.999534
185,0
186,0.999534
187,0.999534
188,0.999534
189,0.999534
190,0
191,0
192,0.999534
193,0
194,0
195,0.999534
196,0.999534
197,0.999534
198,0
199,0
200,0.999534
201,0.999534
202,0.999534
203,0
204,0.999534
205,0
206,0
207,0
208,0.999534
209,0
210,0.999534
