i,discounted
1,39.5046
2,37.2772
3,71.9386
4,3.7563
5,8.72408
6,25.0293
7,82.65
8,66.0963
9,13.4487
10,51.3213
11,10.2619
12,26.5022
13,29.1891
14,52.7846
15,0.215952
16,3.74215
17,0.642012
18,14.4662
19,3.6312
20,2.90274
21,32.2091
22,0.478348
23,5.35699
24,18.3367
25,40.1856
26,19.5086
27,35.064
28,61.7953
29,12.0664
30,32.9271
31,15.6741
32,26.8736
33,9.18345
34,100.665
35,6.73616
36,0.797146
37,41.6282
38,10.7028
39,0.793819
40,29.695
41,85.6286
42,31.2476
43,16.683
44,1.66006
45,11.9203
46,13.3081
47,40.3016
48,23.9554
49,70.7414
50,7.72896
51,124.966
52,28.7595
53,7.48671
54,17.2149
55,30.7442
56,13.8789
57,29.5059
58,4.27592
59,44.0834
60,39.7572
61,56.7677
62,30.3212
63,31.1306
64,9.11734
65,44.8607
66,35.7401
67,33.3454
68,5.70902
69,10.6132
70,23.6944
71,19.5426
72,75.4062
73,83.9041
74,7.366
75,36.3457
76,23.7485
77,1.77491
78,12.643
79,8.7346
80,9.83412
81,25.8532
82,13.205
83,18.6055
84,19.9353
85,32.5144
86,17.7958
87,4.05356
88,3.08749
89,2.24916
90,8.94536
91,3.29421
92,11.5964
93,25.4888
94,1.17079
95,43.5716
96,1.56586
97,15.4352
98,18.0065
99,33.9345
100,75.4205
101,8.31924
102,8.71671
103,57.6618
104,29.8927
105,44.233
106,0
107,29.5176
108,23.5358
109,29.3494
110,6.95684
111,84.0392
112,16.323
113,60.5033
114,5.90492
115,42.2539
116,8.91342
117,27.373
118,30.4568
119,4.5043
120,6.86614
121,5.81494
122,2.47064
123,34.8536
124,30.1302
125,4.66024
126,4.58087
127,2.35751
128,5.84239
129,24.33
130,39.0821
131,7.03421
132,3.37032
133,0.877891
134,0.135873
135,6.61866
136,9.68647
137,15.487
138,28.1794
139,10.1113
140,10.7903
141,27.1908
142,107.233
143,60.5754
144,48.7818
145,3.53435
146,0.656549
147,13.9013
148,30.2798
149,39.0106
150,43.3385
151,26.2475
152,11.3114
153,46.9829
154,3.49488
155,43.923
156,19.6012
157,88.2615
158,47.9163
159,7.17973
160,14.2988
161,7.33182
162,7.58795
163,2.53062
164,34.0031
165,8.54047
166,15.1257
167,44.6333
168,0.236151
169,0.272664
170,141.79
171,53.2205
172,13.3597
173,20.3801
174,0.119893
175,10.1035
176,32.9842
177,5.06383
178,28.4602
179,86.0721
180,15.6126
181,12.6376
182,52.4791
183,16.2154
184,14.0942
185,35.4266
186,57.0536
187,3.0976
188,0.00337017
189,14.5235
190,84.6164
191,47.9086
192,0.22198
193,18.0208
194,7.45064
195,15.8633
196,46.247
197,8.46301
198,4.83313
199,7.14056
200,68.1864
201,30.3622
202,34.3717
203,53.5126
204,45.0846
205,13.773
206,45.2302
207,5.05238
208,6.36659
209,29.4277
210,24.0208
211,1.22683
212,30.2592
213,14.795
214,29.4773
215,22.7611
216,4.2976
217,47.9427
218,32.536
219,5.30856
220,26.8428
221,12.9174
222,44.2676
223,32.0678
224,42.6415
225,17.2841
226,75.1181
227,15.9718
228,6.61104
229,9.22123
230,89.4322
231,20.4438
232,64.3897
233,0.928636
234,24.333
235,1.60968
236,57.1163
237,4.08468
238,9.36091
239,15.238
240,95.7249
241,15.4986
242,8.76177
243,1.09529
244,45.3432
245,0
246,13.8186
247,34.3841
248,48.3012
249,1.07013
250,0.71867
251,29.8047
252,1.3631
253,21.3564
254,56.1072
255,3.98483
256,29.0664
257,12.5454
258,4.36397
259,56.2076
260,18.8508
261,27.7439
262,16.8241
263,57.0815
264,20.1422
265,12.9833
266,16.7543
267,65.1485
268,8.74131
269,6.73672
270,6.23604
271,2.8594
272,0.262911
273,4.42699
274,4.19211
275,43.716
276,24.2181
277,35.6843
278,6.19067
279,47.281
280,22.5338
281,26.65
282,2.42126
283,9.0831
284,41.258
285,54.2894
286,41.9303
287,13.5129
288,1.26257
289,52.5142
290,10.8484
291,12.9796
292,8.31067
293,22.9675
294,6.79052
295,3.61452
296,27.8304
297,45.6394
298,23.8368
299,16.6343
300,13.1225
301,50.4585
302,17.7737
303,0.873899
304,0.148162
305,17.1352
306,11.3299
307,144.761
308,16.1105
309,1.60066
310,48.0854
311,6.69956
312,3.64902
313,13.4541
314,3.63951
315,16.8749
316,11.7152
317,1.5295
318,10.1328
319,4.81846
320,34.4978
321,5.74908
322,33.9465
323,19.197
324,72.0969
325,39.342
326,47.9405
327,4.34407
328,3.41342
329,51.0733
330,20.3359
331,13.3225
332,17.7853
333,34.9784
334,55.5526
335,18.4049
336,20.3386
337,60.2049
338,11.5727
339,7.67622
340,40.5659
341,15.62
342,6.57003
343,40.9471
344,7.80852
345,62.5719
346,11.1339
347,7.0858
348,20.5077
349,30.812
350,3.81728
351,40.9261
352,5.38106
353,8.23208
354,15.6091
355,10.2253
356,23.1697
357,22.8183
358,28.2141
359,14.7593
360,57.2529
361,9.47198
362,7.91089
363,18.0613
364,21.9207
365,33.4642
366,53.7767
367,21.3638
368,54.5442
369,42.8815
370,9.27459
371,55.5832
372,43.8332
373,57.4581
374,13.2655
375,40.509
376,24.0033
377,12.7461
378,48.9098
379,65.0435
380,12.2463
381,12.7561
382,2.25144
383,31.5333
384,13.2425
385,42.1988
386,5.34972
387,10.932
388,23.1787
389,0.910143
390,11.7404
391,29.3406
392,3.35078
393,28.5911
394,19.6691
395,24.6234
396,27.1929
397,21.3924
398,6.80764
399,27.6606
400,5.22393
401,46.1534
402,41.2918
403,23.0219
404,39.5048
405,2.64831
406,17.5692
407,5.4512
408,22.5775
409,35.7655
410,7.82255
411,38.6741
412,35.6352
413,13.6249
414,10.643
415,30.3225
416,131.573
417,104.733
418,95.772
419,11.9382
420,15.0599
421,45.331
422,40.0367
423,9.62274
424,5.58175
425,26.6442
426,68.533
427,4.83655
428,70.4599
429,54.2442
430,15.9745
431,20.5328
432,18.8485
433,6.00774
434,19.2391
435,0.497078
436,8.67317
437,7.6885
438,34.2921
439,8.52531
440,13.8159
441,21.6798
442,26.7293
443,8.31693
444,96.4972
445,19.7347
446,22.5074
447,52.3568
448,35.9624
449,20.5051
450,12.0127
451,0.572767
452,6.46267
453,11.2736
454,7.12271
455,67.6825
456,2.42737
457,21.7848
458,18.6383
459,1.40855
460,8.18722
461,39.4929
462,8.39562
463,16.5809
464,14.6784
465,38.3561
466,20.2228
467,6.88301
468,31.1122
469,1.17042
470,58.9694
471,31.7629
472,37.74
473,35.436
474,5.19033
475,27.9922
476,88.933
477,1.95746
478,15.8545
479,6.23448
480,43.7358
481,18.0927
482,8.45156
483,0.373615
484,10.9596
485,4.90387
