i,discounted
1,16.0723
2,1.66359
3,3.75293
4,29.8511
5,18.9453
6,23.4286
7,2.58411
8,24.5117
9,55.5114
10,7.02635
11,24.1665
12,18.4506
13,27.9156
14,24.6756
15,47.1119
16,42.8523
17,42.5984
18,17.6094
19,32.8544
20,70.7798
21,25.8378
22,32.9333
23,24.5919
24,22.1666
25,17.9961
26,3.3116
27,12.2414
28,17.6901
29,23.4564
30,8.35789
31,18.4881
32,16.0327
33,34.9808
34,2.54676
35,13.941
36,21.2604
37,5.17153
38,15.6912
39,47.1795
40,17.3912
41,1.47408
42,6.96479
43,22.2455
44,37.2585
45,28.8456
46,28.2612
47,12.9433
48,2.05844
49,25.5488
50,9.79046
51,12.9518
52,0.755516
53,27.3948
54,17.59
55,7.28519
56,22.3296
57,0.93834
58,45.87
59,11.4689
60,2.46136
61,12.1551
62,8.06426
63,28.4877
64,35.5017
65,2.78366
66,5.45186
67,3.7536
68,43.8945
69,21.3564
70,35.5201
71,14.6316
72,19.5589
73,2.53509
74,33.3951
75,18.1004
76,47.7297
77,46.5575
78,23.7646
79,45.2384
80,19.8917
81,4.97328
82,14.051
83,23.7622
84,3.47163
85,23.7271
86,11.3555
87,23.2145
88,33.0984
89,34.4735
90,41.4099
91,25.9263
92,22.4749
93,14.2733
94,29.6872
95,6.24831
96,34.3501
97,30.8667
98,12.3741
99,3.72199
100,15.3739
101,24.4757
102,26.7661
103,56.3052
104,6.67217
105,15.9981
106,79.7419
107,2.95355
108,13.4781
109,3.83805
110,17.0036
111,15.3685
112,20.4019
113,11.824
114,36.5406
115,14.0359
116,23.9638
117,8.16584
118,6.03925
119,32.0808
120,16.8098
121,30.4754
122,41.3923
123,2.92016
124,14.6575
125,26.9305
126,25.1635
127,28.6671
128,17.0406
129,16.5964
130,26.5222
131,22.0466
132,36.8978
133,34.4925
134,36.1357
135,29.8766
136,20.1176
137,8.97677
138,19.6891
139,24.5418
140,22.7663
141,7.37095
142,15.0393
143,4.89079
144,4.36321
145,29.3059
146,48.5371
147,20.5915
148,12.956
149,2.60457
150,22.5303
151,8.90074
152,25.3435
153,12.4098
154,24.8501
155,1.81283
156,12.6604
157,28.1442
158,4.39159
159,24.9286
160,16.2076
161,32.7271
162,33.1217
163,50.6504
164,6.16824
165,39.2187
166,40.8361
167,19.5919
168,46.2383
169,34.4881
170,30.568
171,3.48108
172,13.887
173,21.5702
174,48.1561
175,17.2919
176,5.86797
177,37.6986
178,6.1847
179,0.625043
180,20.2391
181,43.299
182,12.2066
183,10.7757
184,11.2311
185,10.733
186,0
187,56.4644
188,33.4613
189,11.1318
190,1.794
191,5.24667
192,45.1098
193,43.3111
194,25.4268
195,34.7309
196,6.73089
197,24.1564
198,47.4162
199,36.8073
200,18.4607
201,13.7566
202,11.5122
203,0.0849992
204,30.5792
205,43.1066
206,4.17778
207,17.888
208,28.2479
209,1.95435
210,20.632
211,30.995
212,7.14661
213,14.4942
214,17.6491
215,42.5495
216,25.8507
217,7.98142
218,6.39419
219,40.9141
220,37.1816
221,30.7148
222,6.13649
223,2.11528
224,3.89293
225,21.3531
226,18.209
227,4.96045
228,42.4494
229,26.778
230,3.14967
231,15.5388
232,15.8749
233,42.641
234,5.61937
235,48.2901
236,10.5616
237,41.1575
238,21.9679
239,24.3769
240,27.4655
241,31.952
242,19.0376
243,31.9535
244,0
245,44.561
246,20.7434
247,2.19019
248,16.3012
249,52.3182
250,50.4221
251,12.467
252,42.5403
253,11.9608
254,17.8958
255,27.3011
256,8.33436
257,18.5178
258,22.4813
259,11.2568
260,9.19308
261,11.2624
262,38.3582
263,10.0724
264,8.41501
265,13.9264
266,11.84
267,38.9739
268,29.8861
269,32.6508
270,25.9597
271,29.9782
272,39.3072
273,24.0675
274,22.0444
275,9.19428
276,19.2034
277,16.8611
278,25.1509
279,12.8976
280,22.0491
281,19.0045
282,61.3369
283,21.7824
284,0.00537647
285,3.91483
286,13.8231
287,21.8091
288,33.4815
289,14.4008
290,23.324
291,25.3754
292,33.0755
293,11.5385
294,32.5191
295,21.421
296,22.9026
297,4.82915
298,9.55088
299,15.7959
300,41.5893
301,14.4003
302,26.1568
303,32.9695
304,29.85
305,14.0801
306,16.5791
307,10.0023
308,8.76682
309,36.1944
310,17.2367
311,29.8626
312,38.0067
313,22.4551
314,38.2412
315,46.9266
316,13.2691
317,29.4757
318,41.376
319,19.0681
320,20.1383
321,23.805
322,3.1683
323,32.4493
324,0.854099
325,19.4377
326,9.7819
327,27.7765
328,32.0152
329,2.07513
330,17.0745
331,24.3351
332,26.5638
333,13.6463
334,0
335,24.0699
336,22.3258
337,35.1487
338,25.9343
339,11.4755
340,1.23679
